BRGY ,Latitude,Longitude
Bagong Ilog,14.5646,121.07111
Bagong Katipunan,14.55847,121.07509
Bambang,14.55473,121.07855
Buting,14.55333,121.06902
Caniogan,14.57204,121.08052
Kalawaan,14.55159,121.08663
Kapasigan,14.56458,121.07425
Kapitolyo,14.57141,121.0593
Malinao,14.55755,121.07866
Oranbo,14.57344,121.0643
Palatiw,14.56305,121.08509
Pineda,14.56592,121.056
Sagad,14.56624,121.07934
San Antonio,14.5779,121.06053
San Joaquin,14.55214,121.07978
San Jose,14.56134,121.07368
San Nicolas,14.56303,121.07814
Sta. Cruz,14.5632,121.07861
Sta. Rosa,14.55889,121.07291
Sto. Tomas,14.56428,121.07977
Sumilang,14.55715,121.075
Ugong,14.57914,121.07857
Dela Paz,14.6135,121.09574
Manggahan,14.59812,121.0916
Maybunga,14.57851,121.08139
Pinagbuhatan,14.55721,121.09094
Rosario,14.58609,121.08466
San Miguel,14.56581,121.08548
Santolan,14.61208,121.08677
Sta. Lucia,14.58811,121.09961